Name,Datatype,Length,Precision,Not-null,Status
EXTN_ATTRIBUTE_NUMBER174,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER175,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER176,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR295,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR296,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR297,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR298,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR299,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR300,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR301,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR302,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR303,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR304,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR305,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR306,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR307,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR308,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CLOB021,CLOB,,,,
EXTN_ATTRIBUTE_CLOB022,CLOB,,,,
EXTN_ATTRIBUTE_NUMBER177,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER178,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER179,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER180,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER181,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER182,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER183,NUMBER,,,,
EXTN_ATTRIBUTE_NUMBER184,NUMBER,,,,
EXTN_ATTRIBUTE_CHAR309,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR310,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR311,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR312,VARCHAR2,1500,,,
EXTN_ATTRIBUTE_CHAR313,VARCHAR2,1500,,,
